name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Chile,CHL,CLP,1400,716,,2003-04-01
China,CHN,CNY,9.9,8.28,,2003-04-01
Czech Republic,CZE,CZK,56.57,28.9,,2003-04-01
Denmark,DNK,DKK,27.75,6.78,,2003-04-01
Egypt,EGY,EGP,8,5.92,,2003-04-01
Euro area,EUZ,EUR,2.71,0.909090909,,2003-04-01
Hong Kong,HKG,HKD,11.5,7.8,,2003-04-01
Hungary,HUN,HUF,490,224,,2003-04-01
Indonesia,IDN,IDR,16100,8740,,2003-04-01
Japan,JPN,JPY,262,120,,2003-04-01
Malaysia,MYS,MYR,5.04,3.8,,2003-04-01
Mexico,MEX,MXN,23,10.53,,2003-04-01
New Zealand,NZL,NZD,3.95,1.78,,2003-04-01
Peru,PER,PEN,7.9,3.46,,2003-04-01
Philippines,PHL,PHP,65,52.5,,2003-04-01
Poland,POL,PLN,6.3,3.89,,2003-04-01
Russia,RUS,RUB,41,31.1,,2003-04-01
Singapore,SGP,SGD,3.3,1.78,,2003-04-01
South Africa,ZAF,ZAR,13.95,7.56,,2003-04-01
South Korea,KOR,KRW,3300,1220,,2003-04-01
Sweden,SWE,SEK,30,8.34,,2003-04-01
Switzerland,CHE,CHF,6.3,1.37,,2003-04-01
Taiwan,TWN,TWD,70,34.8,,2003-04-01
Thailand,THA,THB,59,42.7,,2003-04-01
Turkey,TUR,TRY,3750000,1600500,,2003-04-01
United States,USA,USD,2.71,1,,2003-04-01
Venezuela,VEN,VEF,3700,1598,,2003-04-01
Argentina,ARG,ARS,4.36,2.95,,2004-05-01
Australia,AUS,AUD,3.25,1.43,,2004-05-01
Brazil,BRA,BRL,5.4,3.18,,2004-05-01
Britain,GBR,GBP,1.88,0.558659218,,2004-05-01
Canada,CAN,CAD,3.19,1.37,,2004-05-01
Chile,CHL,CLP,1400,641,,2004-05-01
China,CHN,CNY,10.4,8.28,,2004-05-01
Colombia,COL,COP,6500,2769.83,,2004-05-01
Costa Rica,CRI,CRC,1130,433.55,,2004-05-01
Czech Republic,CZE,CZK,56.42,26.5,,2004-05-01
Denmark,DNK,DKK,27.75,6.22,,2004-05-01
Egypt,EGY,EGP,10,6.19,,2004-05-01
Euro area,EUZ,EUR,2.74,0.833333333,,2004-05-01
Hong Kong,HKG,HKD,12,7.79,,2004-05-01
Hungary,HUN,HUF,530,211,,2004-05-01
Indonesia,IDN,IDR,16100,9120,,2004-05-01
Japan,JPN,JPY,262,113,,2004-05-01
Malaysia,MYS,MYR,5.04,3.8,,2004-05-01
Mexico,MEX,MXN,24,11.6,,2004-05-01
New Zealand,NZL,NZD,4.35,1.64,,2004-05-01
Norway,NOR,NOK,35.5,6.8491,,2004-05-01
Pakistan,PAK,PKR,110,57.76,,2004-05-01
Peru,PER,PEN,8.99,3.49,,2004-05-01
Philippines,PHL,PHP,69,55.9,,2004-05-01
Poland,POL,PLN,6.3,3.87,,2004-05-01
Russia,RUS,RUB,42,29,,2004-05-01
Saudi Arabia,SAU,SAR,2.4,3.7502,,2004-05-01
Singapore,SGP,SGD,3.3,1.71,,2004-05-01
South Africa,ZAF,ZAR,12.4,6.66,,2004-05-01
South Korea,KOR,KRW,3200,1177,,2004-05-01
Sri Lanka,LKA,LKR,140,99,,2004-05-01
Sweden,SWE,SEK,30,7.61,,2004-05-01
Switzerland,CHE,CHF,6.3,1.29,,2004-05-01
Taiwan,TWN,TWD,75,33.4,,2004-05-01
Thailand,THA,THB,59,40.8,,2004-05-01
Turkey,TUR,TRY,3950000,1531000,,2004-05-01
Ukraine,UKR,UAH,7.25,5.3315,,2004-05-01
United States,USA,USD,2.9,1,,2004-05-01
Uruguay,URY,UYU,29.8,29.735,,2004-05-01
Venezuela,VEN,VEF,4400,2977,,2004-05-01
Argentina,ARG,ARS,4.75,2.897,,2005-06-01
Australia,AUS,AUD,3.25,1.3015,,2005-06-01
Brazil,BRA,BRL,5.9,2.4648,,2005-06-01
Britain,GBR,GBP,1.88,0.546448087,,2005-06-01
Canada,CAN,CAD,3.28,1.2494,,2005-06-01
Chile,CHL,CLP,1500,592.45,,2005-06-01
China,CHN,CNY,10.5,8.2764,,2005-06-01
Colombia,COL,COP,6500,2327.7,,2005-06-01
Costa Rica,CRI,CRC,1130,475.3,,2005-06-01
Czech Republic,CZE,CZK,56.42,24.5409,,2005-06-01
Denmark,DNK,DKK,27.75,6.0647,,2005-06-01
Egypt,EGY,EGP,9,5.8,,2005-06-01
Euro area,EUZ,EUR,2.92,0.814929509,,2005-06-01
Hong Kong,HKG,HKD,12,7.7807,,2005-06-01
Hungary,HUN,HUF,530,203.643,,2005-06-01
Indonesia,IDN,IDR,14600,9545,,2005-06-01
Japan,JPN,JPY,250,106.715,,2005-06-01
Malaysia,MYS,MYR,5.25,3.8,,2005-06-01
Mexico,MEX,MXN,28,10.8675,,2005-06-01
New Zealand,NZL,NZD,4.45,1.4023,,2005-06-01
Norway,NOR,NOK,39,6.4326,,2005-06-01
Pakistan,PAK,PKR,130,59.62,,2005-06-01
Peru,PER,PEN,8.99,3.2546,,2005-06-01
Philippines,PHL,PHP,80,54.55,,2005-06-01
Poland,POL,PLN,6.5,3.3096,,2005-06-01
Russia,RUS,RUB,42,28.4055,,2005-06-01
Saudi Arabia,SAU,SAR,9,3.7501,,2005-06-01
Singapore,SGP,SGD,3.6,1.6607,,2005-06-01
South Africa,ZAF,ZAR,13.95,6.6482,,2005-06-01
South Korea,KOR,KRW,2500,1005.5,,2005-06-01
Sri Lanka,LKA,LKR,175,99.945,,2005-06-01
Sweden,SWE,SEK,31,7.4402,,2005-06-01
Switzerland,CHE,CHF,6.3,1.2475,,2005-06-01
Taiwan,TWN,TWD,75,31.175,,2005-06-01
Thailand,THA,THB,60,40.53,,2005-06-01
Turkey,TUR,TRY,4,1.369,,2005-06-01
UAE,ARE,AED,9,3.6725,,2005-06-01
Ukraine,UKR,UAH,7.25,5.06,,2005-06-01
United States,USA,USD,3.06,1,,2005-06-01
Uruguay,URY,UYU,44,24.125,,2005-06-01
Venezuela,VEN,VEF,5600,2629.62,,2005-06-01
Argentina,ARG,ARS,4.75,3.0638,,2006-01-01
Australia,AUS,AUD,3.25,1.3308,,2006-01-01
Brazil,BRA,BRL,6.2,2.2615,,2006-01-01
Britain,GBR,GBP,1.88,0.566925563,,2006-01-01
Canada,CAN,CAD,3.52,1.1704,,2006-01-01
Chile,CHL,CLP,1560,522.75,,2006-01-01
China,CHN,CNY,10.5,8.0641,,2006-01-01
Czech Republic,CZE,CZK,62,23.8375,,2006-01-01
Denmark,DNK,DKK,27.75,6.1769,,2006-01-01
Egypt,EGY,EGP,9.25,5.74,,2006-01-01
Euro area,EUZ,EUR,2.91,0.82815735,,2006-01-01
Hong Kong,HKG,HKD,12,7.7512,,2006-01-01
Hungary,HUN,HUF,560,206.956,,2006-01-01
Indonesia,IDN,IDR,14600,9460,,2006-01-01
Japan,JPN,JPY,250,114.305,,2006-01-01
Malaysia,MYS,MYR,5.5,3.7488,,2006-01-01
Mexico,MEX,MXN,28,10.5425,,2006-01-01
New Zealand,NZL,NZD,4.45,1.4467,,2006-01-01
Peru,PER,PEN,9.5,3.446,,2006-01-01
Philippines,PHL,PHP,82,52.58,,2006-01-01
Poland,POL,PLN,6.5,3.1151,,2006-01-01
Russia,RUS,RUB,46,28.67,,2006-01-01
Singapore,SGP,SGD,3.6,1.6353,,2006-01-01
South Africa,ZAF,ZAR,13.95,6.0803,,2006-01-01
South Korea,KOR,KRW,2500,977.45,,2006-01-01
Sweden,SWE,SEK,33,7.7119,,2006-01-01
Switzerland,CHE,CHF,6.3,1.2776,,2006-01-01
Taiwan,TWN,TWD,75,31.9495,,2006-01-01
Thailand,THA,THB,60,39.755,,2006-01-01
Turkey,TUR,TRY,4.1,1.3365,,2006-01-01
United States,USA,USD,3.15,1,,2006-01-01
Venezuela,VEN,VEF,5900,2615.92,,2006-01-01
Argentina,ARG,ARS,7,3.0565,,2006-05-01
Australia,AUS,AUD,3.25,1.33253,,2006-05-01
Brazil,BRA,BRL,6.4,2.3045,,2006-05-01
Britain,GBR,GBP,1.94,0.531801744,,2006-05-01
Canada,CAN,CAD,3.52,1.12045,,2006-05-01
Chile,CHL,CLP,1560,529.95,,2006-05-01
China,CHN,CNY,10.5,8.026,,2006-05-01
Colombia,COL,COP,6500,2503.6,,2006-05-01
Costa Rica,CRI,CRC,1130,509.535,,2006-05-01
Czech Republic,CZE,CZK,59.05,22.1078,,2006-05-01
Denmark,DNK,DKK,27.75,5.81825,,2006-05-01
Egypt,EGY,EGP,9.5,5.77075,,2006-05-01
Euro area,EUZ,EUR,2.939573529,0.780365992,,2006-05-01
Hong Kong,HKG,HKD,12,7.7533,,2006-05-01
Hungary,HUN,HUF,560,206.3444,,2006-05-01
Indonesia,IDN,IDR,14600,9325,,2006-05-01
Japan,JPN,JPY,250,112.105,,2006-05-01
Malaysia,MYS,MYR,5.5,3.6295,,2006-05-01
Mexico,MEX,MXN,29,11.3031,,2006-05-01
New Zealand,NZL,NZD,4.45,1.62101,,2006-05-01
Norway,NOR,NOK,43,6.1023,,2006-05-01
Pakistan,PAK,PKR,130,60.055,,2006-05-01
Peru,PER,PEN,9.5,3.261,,2006-05-01
Philippines,PHL,PHP,85,52.625,,2006-05-01
Poland,POL,PLN,6.5,3.09915,,2006-05-01
Russia,RUS,RUB,48,27.06375,,2006-05-01
Saudi Arabia,SAU,SAR,9,3.749,,2006-05-01
Singapore,SGP,SGD,3.6,1.5873,,2006-05-01
South Africa,ZAF,ZAR,13.95,6.597,,2006-05-01
South Korea,KOR,KRW,2500,952.4,,2006-05-01
Sri Lanka,LKA,LKR,190,102.955,,2006-05-01
Sweden,SWE,SEK,33,7.28455,,2006-05-01
Switzerland,CHE,CHF,6.3,1.20885,,2006-05-01
Taiwan,TWN,TWD,75,32.141,,2006-05-01
Thailand,THA,THB,60,38.445,,2006-05-01
Turkey,TUR,TRY,4.2,1.5415,,2006-05-01
UAE,ARE,AED,9,3.6726,,2006-05-01
Ukraine,UKR,UAH,8.5,5.05,,2006-05-01
United States,USA,USD,3.1,1,,2006-05-01
Uruguay,URY,UYU,42.28,23.925,,2006-05-01
Venezuela,VEN,VEF,5701.25,2519.58,,2006-05-01
Argentina,ARG,ARS,8.25,3.08875,,2007-01-01
Australia,AUS,AUD,3.45,1.266865,,2007-01-01
Brazil,BRA,BRL,6.4,2.1335,,2007-01-01
Britain,GBR,GBP,1.94,0.506034461,,2007-01-01
Canada,CAN,CAD,3.63,1.17485,,2007-01-01
Chile,CHL,CLP,1670,540.15,,2007-01-01
China,CHN,CNY,11,7.7743,,2007-01-01
Colombia,COL,COP,6900,2239.325,,2007-01-01
Costa Rica,CRI,CRC,1130,509.535,,2007-01-01
Czech Republic,CZE,CZK,52.1,21.50115,,2007-01-01
Denmark,DNK,DKK,27.75,5.75305,,2007-01-01
Egypt,EGY,EGP,9.09,5.7,,2007-01-01
Euro area,EUZ,EUR,2.94,0.771813376,,2007-01-01
Hong Kong,HKG,HKD,12,7.79845,,2007-01-01
Hungary,HUN,HUF,590,194.4237,,2007-01-01
Indonesia,IDN,IDR,15900,9090,,2007-01-01
Japan,JPN,JPY,280,121.585,,2007-01-01
Malaysia,MYS,MYR,5.5,3.502,,2007-01-01
Mexico,MEX,MXN,29,10.8894,,2007-01-01
New Zealand,NZL,NZD,4.6,1.42796,,2007-01-01
Norway,NOR,NOK,41.5,6.1023,,2007-01-01
Pakistan,PAK,PKR,140,60.055,,2007-01-01
Peru,PER,PEN,9.5,3.1895,,2007-01-01
Philippines,PHL,PHP,85,49.05,,2007-01-01
Poland,POL,PLN,6.9,2.97175,,2007-01-01
Russia,RUS,RUB,49,26.5335,,2007-01-01
Saudi Arabia,SAU,SAR,9,3.749,,2007-01-01
Singapore,SGP,SGD,3.6,1.53795,,2007-01-01
South Africa,ZAF,ZAR,15.5,7.10975,,2007-01-01
South Korea,KOR,KRW,2900,940.15,,2007-01-01
Sri Lanka,LKA,LKR,190,102.955,,2007-01-01
Sweden,SWE,SEK,32,7.04125,,2007-01-01
Switzerland,CHE,CHF,6.3,1.2485,,2007-01-01
Taiwan,TWN,TWD,75,32.9255,,2007-01-01
Thailand,THA,THB,62,35.3,,2007-01-01
Turkey,TUR,TRY,4.55,1.40975,,2007-01-01
UAE,ARE,AED,10,3.6726,,2007-01-01
Ukraine,UKR,UAH,9,5.05,,2007-01-01
United States,USA,USD,3.22,1,,2007-01-01
Uruguay,URY,UYU,55,23.925,,2007-01-01
Venezuela,VEN,VEF,6800,4125.278,,2007-01-01
Argentina,ARG,ARS,8.25,3.0915,,2007-06-01
Australia,AUS,AUD,3.45,1.17,,2007-06-01
Brazil,BRA,BRL,6.9,1.913,,2007-06-01
Britain,GBR,GBP,1.99,0.496610632,,2007-06-01
Canada,CAN,CAD,3.88,1.05345,,2007-06-01
Chile,CHL,CLP,1565,526.75,,2007-06-01
China,CHN,CNY,11,7.6047,,2007-06-01
Colombia,COL,COP,6900,1956,,2007-06-01
Costa Rica,CRI,CRC,1130,518.625,,2007-06-01
Czech Republic,CZE,CZK,52.9,21.11675,,2007-06-01
Denmark,DNK,DKK,27.75,5.4603,,2007-06-01
Egypt,EGY,EGP,9.54,5.69025,,2007-06-01
Euro area,EUZ,EUR,3.057482443,0.733756466,,2007-06-01
Hong Kong,HKG,HKD,12,7.81555,,2007-06-01
Hungary,HUN,HUF,600,180.2106,,2007-06-01
Indonesia,IDN,IDR,15900,9015,,2007-06-01
Japan,JPN,JPY,280,122.315,,2007-06-01
Malaysia,MYS,MYR,5.5,3.4345,,2007-06-01
Mexico,MEX,MXN,29,10.76755,,2007-06-01
New Zealand,NZL,NZD,4.6,1.2797,,2007-06-01
Norway,NOR,NOK,40,5.8139,,2007-06-01
Pakistan,PAK,PKR,140,60.37,,2007-06-01
Peru,PER,PEN,9.5,3.167,,2007-06-01
Philippines,PHL,PHP,85,45.8975,,2007-06-01
Poland,POL,PLN,6.9,2.75185,,2007-06-01
Russia,RUS,RUB,52,25.64825,,2007-06-01
Saudi Arabia,SAU,SAR,9,3.75045,,2007-06-01
Singapore,SGP,SGD,3.95,1.52375,,2007-06-01
South Africa,ZAF,ZAR,15.5,6.971,,2007-06-01
South Korea,KOR,KRW,2900,922.5,,2007-06-01
Sri Lanka,LKA,LKR,210,111.4,,2007-06-01
Sweden,SWE,SEK,33,6.79165,,2007-06-01
Switzerland,CHE,CHF,6.3,1.2112,,2007-06-01
Taiwan,TWN,TWD,75,32.7705,,2007-06-01
Thailand,THA,THB,62,34.455,,2007-06-01
Turkey,TUR,TRY,4.75,1.2981,,2007-06-01
UAE,ARE,AED,10,3.67285,,2007-06-01
Ukraine,UKR,UAH,9.25,5.0275,,2007-06-01
United States,USA,USD,3.41,1,,2007-06-01
Uruguay,URY,UYU,62,23.945,,2007-06-01
Venezuela,VEN,VEF,7400,2147.3,,2007-06-01
Argentina,ARG,ARS,11,3.0195,,2008-06-01
Australia,AUS,AUD,3.45,1.026,,2008-06-01
Brazil,BRA,BRL,7.5,1.5846,,2008-06-01
Britain,GBR,GBP,2.29,0.501039657,,2008-06-01
Canada,CAN,CAD,4.09,1.00355,,2008-06-01
Chile,CHL,CLP,1550,494.65,,2008-06-01
China,CHN,CNY,12.5,6.834,,2008-06-01
Colombia,COL,COP,7000,1798.65,,2008-06-01
Costa Rica,CRI,CRC,1800,551.02,,2008-06-01
Czech Republic,CZE,CZK,66.08,14.49795,,2008-06-01
Denmark,DNK,DKK,28,4.7044,,2008-06-01
Egypt,EGY,EGP,13,5.3125,,2008-06-01
Euro area,EUZ,EUR,3.36856,0.630497147,,2008-06-01
Hong Kong,HKG,HKD,13.3,7.7974,,2008-06-01
Hungary,HUN,HUF,670,144.2578,,2008-06-01
Indonesia,IDN,IDR,18700,9152,,2008-06-01
Japan,JPN,JPY,280,106.855,,2008-06-01
Malaysia,MYS,MYR,5.5,3.238,,2008-06-01
Mexico,MEX,MXN,32,10.1685,,2008-06-01
New Zealand,NZL,NZD,4.9,1.3177,,2008-06-01
Norway,NOR,NOK,40,5.07915,,2008-06-01
Pakistan,PAK,PKR,140,70.9,,2008-06-01
Peru,PER,PEN,9.5,2.84,,2008-06-01
Philippines,PHL,PHP,87,44.485,,2008-06-01
Poland,POL,PLN,7,2.03145,,2008-06-01
Russia,RUS,RUB,59,23.2336,,2008-06-01
Saudi Arabia,SAU,SAR,10,3.74955,,2008-06-01
Singapore,SGP,SGD,3.95,1.35275,,2008-06-01
South Africa,ZAF,ZAR,16.95,7.56325,,2008-06-01
South Korea,KOR,KRW,3200,1018.05,,2008-06-01
Sri Lanka,LKA,LKR,210,107.55,,2008-06-01
Sweden,SWE,SEK,38,5.96085,,2008-06-01
Switzerland,CHE,CHF,6.5,1.02215,,2008-06-01
Taiwan,TWN,TWD,75,30.3625,,2008-06-01
Thailand,THA,THB,62,33.36,,2008-06-01
Turkey,TUR,TRY,5.15,1.19275,,2008-06-01
UAE,ARE,AED,10,3.67285,,2008-06-01
Ukraine,UKR,UAH,11,4.6,,2008-06-01
United States,USA,USD,3.57,1,,2008-06-01
Uruguay,URY,UYU,61,19.15,,2008-06-01
Argentina,ARG,ARS,11.5,3.81125,,2009-07-01
Australia,AUS,AUD,4.34,1.2869,,2009-07-01
Brazil,BRA,BRL,8.03,1.9971,,2009-07-01
Britain,GBR,GBP,2.29,0.620886626,,2009-07-01
Canada,CAN,CAD,3.89,1.16085,,2009-07-01
Chile,CHL,CLP,1750,548.55,,2009-07-01
China,CHN,CNY,12.5,6.8327,,2009-07-01
Colombia,COL,COP,7000,2095.6,,2009-07-01
Costa Rica,CRI,CRC,2000,582.57,,2009-07-01
Czech Republic,CZE,CZK,67.92,18.66155,,2009-07-01
Denmark,DNK,DKK,29.5,5.3375,,2009-07-01
Egypt,EGY,EGP,13,5.58475,,2009-07-01
Euro area,EUZ,EUR,3.31,0.716897269,,2009-07-01
Hong Kong,HKG,HKD,13.3,7.7505,,2009-07-01
Hungary,HUN,HUF,720,199.1577,,2009-07-01
Indonesia,IDN,IDR,20900,10200,,2009-07-01
Israel,ISR,ILS,15,3.97425,,2009-07-01
Japan,JPN,JPY,320,92.565,,2009-07-01
Malaysia,MYS,MYR,6.77,3.602,,2009-07-01
Mexico,MEX,MXN,33,13.8104,,2009-07-01
New Zealand,NZL,NZD,4.9,1.59235,,2009-07-01
Norway,NOR,NOK,40,6.50925,,2009-07-01
Pakistan,PAK,PKR,190,82.6,,2009-07-01
Peru,PER,PEN,8.056,3.0274,,2009-07-01
Philippines,PHL,PHP,99.39,48.385,,2009-07-01
Poland,POL,PLN,7.6,3.15525,,2009-07-01
Russia,RUS,RUB,67,32.7959,,2009-07-01
Saudi Arabia,SAU,SAR,11,3.7504,,2009-07-01
Singapore,SGP,SGD,4.22,1.4645,,2009-07-01
South Africa,ZAF,ZAR,17.95,8.2805,,2009-07-01
South Korea,KOR,KRW,3400,1314.5,,2009-07-01
Sri Lanka,LKA,LKR,210,114.86,,2009-07-01
Sweden,SWE,SEK,39,7.90915,,2009-07-01
Switzerland,CHE,CHF,6.5,1.08605,,2009-07-01
Taiwan,TWN,TWD,75,33.1755,,2009-07-01
Thailand,THA,THB,64.49,34.165,,2009-07-01
Turkey,TUR,TRY,5.65,1.55005,,2009-07-01
UAE,ARE,AED,10,3.673,,2009-07-01
Ukraine,UKR,UAH,14,7.66,,2009-07-01
United States,USA,USD,3.57,1,,2009-07-01
Uruguay,URY,UYU,61,23.17,,2009-07-01
Argentina,ARG,ARS,7,3.7985,,2010-01-01
Australia,AUS,AUD,4.35,1.09355,,2010-01-01
Brazil,BRA,BRL,8.2,1.7233,,2010-01-01
Britain,GBR,GBP,2.29,0.623752495,,2010-01-01
Canada,CAN,CAD,4.12,1.0368,,2010-01-01
Chile,CHL,CLP,1600,503.1,,2010-01-01
China,CHN,CNY,12.5,6.8272,,2010-01-01
Colombia,COL,COP,8200,2095.6,,2010-01-01
Costa Rica,CRI,CRC,2050,582.57,,2010-01-01
Czech Republic,CZE,CZK,67.64,18.21005,,2010-01-01
Denmark,DNK,DKK,30.94,5.16195,,2010-01-01
Egypt,EGY,EGP,13,5.465,,2010-01-01
Euro area,EUZ,EUR,3.36,0.693649638,,2010-01-01
Hong Kong,HKG,HKD,14.8,7.75655,,2010-01-01
Hungary,HUN,HUF,720,186.6508,,2010-01-01
Indonesia,IDN,IDR,20900,9320,,2010-01-01
Israel,ISR,ILS,14.9,3.7325,,2010-01-01
Japan,JPN,JPY,320,91.54,,2010-01-01
Malaysia,MYS,MYR,7.05,3.3875,,2010-01-01
Mexico,MEX,MXN,32,12.81375,,2010-01-01
New Zealand,NZL,NZD,4.9,1.35685,,2010-01-01
Norway,NOR,NOK,40,5.69555,,2010-01-01
Pakistan,PAK,PKR,200,82.6,,2010-01-01
Peru,PER,PEN,8.056,2.8705,,2010-01-01
Philippines,PHL,PHP,101.52,45.92,,2010-01-01
Poland,POL,PLN,8.1,2.83565,,2010-01-01
Russia,RUS,RUB,70,29.927,,2010-01-01
Saudi Arabia,SAU,SAR,10,3.7502,,2010-01-01
Singapore,SGP,SGD,4.45,1.39555,,2010-01-01
South Africa,ZAF,ZAR,17.95,7.3045,,2010-01-01
South Korea,KOR,KRW,3400,1140.5,,2010-01-01
Sri Lanka,LKA,LKR,210,114.86,,2010-01-01
Sweden,SWE,SEK,39,7.0821,,2010-01-01
Switzerland,CHE,CHF,6.5,1.03115,,2010-01-01
Taiwan,TWN,TWD,75,31.8425,,2010-01-01
Thailand,THA,THB,70,33.135,,2010-01-01
Turkey,TUR,TRY,5.65,1.47455,,2010-01-01
UAE,ARE,AED,11,3.673,,2010-01-01
Ukraine,UKR,UAH,14,7.66,,2010-01-01
United States,USA,USD,3.58,1,,2010-01-01
Uruguay,URY,UYU,77,23.17,,2010-01-01
Argentina,ARG,ARS,14,3.93375,,2010-07-01
Australia,AUS,AUD,4.35,1.133722578,,2010-07-01
Brazil,BRA,BRL,8.71,1.77495,,2010-07-01
Britain,GBR,GBP,2.29,0.657375756,,2010-07-01
Canada,CAN,CAD,4.17,1.04235,,2010-07-01
Chile,CHL,CLP,1750,523.65,,2010-07-01
China,CHN,CNY,13.2,6.7769,,2010-07-01
Colombia,COL,COP,8200,1868.45,,2010-07-01
Costa Rica,CRI,CRC,2000,522.115,,2010-07-01
Czech Republic,CZE,CZK,67.64,19.7476,,2010-07-01
Denmark,DNK,DKK,28.5,5.81365,,2010-07-01
